fgbg,fg,bg
065D3C2B,065D,3C2B
4BB67261,4BB6,7261
4BB6DD32,4BB6,DD32
4BB6E995,4BB6,E995
4BB62B65,4BB6,2B65
4BB63EDC,4BB6,3EDC
4BB6E34F,4BB6,E34F
4BB6A506,4BB6,A506
4BB61FA4,4BB6,1FA4
4BB6BB7B,4BB6,BB7B
4BB63130,4BB6,3130
06E67261,06E6,7261
0384DD32,0384,DD32
DD32E483,DD32,E483
4A7CE995,4A7C,E995
D52FE995,D52F,E995
E9958D09,E995,8D09
73302B65,7330,2B65
2B653EDC,2B65,3EDC
A2203EDC,A220,3EDC
F1083EDC,F108,3EDC
D27C3EDC,D27C,3EDC
8CAF3EDC,8CAF,3EDC
3603E34F,3603,E34F
84AAE34F,84AA,E34F
9C50E34F,9C50,E34F
172FE34F,172F,E34F
A2B8E34F,A2B8,E34F
A32BE34F,A32B,E34F
8B3BE34F,8B3B,E34F
BBAEE34F,BBAE,E34F
E34F87AC,E34F,87AC
E34FDB2D,E34F,DB2D
84E9A506,84E9,A506
F1D7A506,F1D7,A506
A32FA506,A32F,A506
C36DA506,C36D,A506
C4FD1FA4,C4FD,1FA4
93C51FA4,93C5,1FA4
27081FA4,2708,1FA4
1FA4C152,1FA4,C152
1FA4CCAE,1FA4,CCAE
837BBB7B,837B,BB7B
51393130,5139,3130
815D3130,815D,3130
0E670995,0E67,0995
FE740995,FE74,0995
18CE0995,18CE,0995
F5DA0995,F5DA,0995
79CD0995,79CD,0995
FA560995,FA56,0995
67BE0995,67BE,0995
3428BC30,3428,BC30
BC30E1E9,BC30,E1E9
D171E1E9,D171,E1E9
C160E1E9,C160,E1E9
3B7DE1E9,3B7D,E1E9
E1E97DE3,E1E9,7DE3
6DC9D418,6DC9,D418
DB5ED418,DB5E,D418
CF69D418,CF69,D418
0BB7D418,0BB7,D418
D418CF69,D418,CF69
5FEE446C,5FEE,446C
28BEB3D6,28BE,B3D6
01678847,0167,8847
446C4442,446C,4442
021916AD,0219,16AD
0167B3D6,0167,B3D6
446CE046,446C,E046
89C5B3D6,89C5,B3D6
446C32F9,446C,32F9
446CB3BD,446C,B3BD
2D9B8847,2D9B,8847
2F4216AD,2F42,16AD
446C3667,446C,3667
784316AD,7843,16AD
B3D6180E,B3D6,180E
446CCB64,446C,CB64
DDE35EDF,DDE3,5EDF
884701DB,8847,01DB
16AD505A,16AD,505A
B3D6947B,B3D6,947B
B475A239,B475,A239
446C2229,446C,2229
B6945EDF,B694,5EDF
16AD7D1B,16AD,7D1B
B3D68857,B3D6,8857
A239BEF9,A239,BEF9
446C7DA6,446C,7DA6
986A5EDF,986A,5EDF
16AD5E1A,16AD,5E1A
B3D60FF9,B3D6,0FF9
F1201971,F120,1971
446CC287,446C,C287
87695EDF,8769,5EDF
16AD8012,16AD,8012
B3D6E99E,B3D6,E99E
446CD5FB,446C,D5FB
41065EDF,4106,5EDF
16ADBF6A,16AD,BF6A
B3D6E912,B3D6,E912
1971CC6B,1971,CC6B
B1DB5EDF,B1DB,5EDF
16AD99D9,16AD,99D9
F8155EDF,F815,5EDF
57E65F4A,57E6,5F4A
84B04442,84B0,4442
